Id,N_Victimas,Fecha_Siniestro,Hora,Lugar_Del_Hecho,Tipo_De_Calle,Comuna,Pos_X,Pos_Y,Victima,Acusado,Barrios,Rol,Sexo,Edad,Fecha_Fallecimiento,Semestre,Hora_Siniestro,Anio_Siniestro,Mes_Siniestro,Dia_Siniestro,Anio_Fallecimiento,Mes_Fallecimiento,Dia_Fallecimiento,Dia_Semana_Siniestro,Dia_Semana_Fallecimiento
2019-0029,1,2019-04-07,10:15:00,"FERNANDEZ DE LA CRUZ, F. , GRAL. AV. Y LACARRA AV.",AVENIDA,8,-58.47976785,-34.69153196,Moto,Objeto Fijo,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",CONDUCTOR,MASCULINO,27,2019-04-07,1,10,2019,4,7,2019,4,7,domingo,domingo
2019-0030,1,2019-04-09,16:00:00,"ALVAREZ, DONATO, TTE. GRAL. Y YERBAL",CALLE,7,-58.45457546,-34.62447891,Moto,Cargas,"['Flores', 'Parque Chacabuco']",CONDUCTOR,MASCULINO,25,2019-04-09,1,16,2019,4,9,2019,4,9,martes,martes
2019-0031,1,2019-04-12,19:55:00,"CORDOBA AV. Y MADERO, EDUARDO AV.",AVENIDA,1,-58.36951669,-34.59832047,Bicicleta,Cargas,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CICLISTA,MASCULINO,20,2019-04-12,1,19,2019,4,12,2019,4,12,viernes,viernes
2019-0032,1,2019-04-16,11:00:00,"CAMARONES Y ALVAREZ, DONATO, TTE. GRAL. AV.",AVENIDA,11,-58.46415322,-34.6044379,Peaton,Auto,"['Villa General Mitre', 'Villa Devoto', 'Villa del Parque', 'Villa Santa Rita']",PEATON,FEMENINO,83,2019-04-18,1,11,2019,4,16,2019,4,18,martes,jueves
2019-0033,1,2019-04-18,01:00:00,"AUTOPISTA 25 DE MAYO Y HUERGO, ING. AV.",AUTOPISTA,1,-58.36607137,-34.62150748,Moto,Sd,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CONDUCTOR,MASCULINO,25,2019-04-18,1,1,2019,4,18,2019,4,18,jueves,jueves
2019-0034,1,2019-04-21,09:08:00,"MORENO, PERITO AV. 3050",AVENIDA,7,-58.45537373,-34.65093074,Moto,Objeto Fijo,"['Flores', 'Parque Chacabuco']",CONDUCTOR,MASCULINO,42,2019-04-21,1,9,2019,4,21,2019,4,21,domingo,domingo
2019-0035,1,2019-04-23,14:10:00,SUIPACHA 665,CALLE,1,-58.37942637,-34.60053054,Peaton,Bicicleta,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",PEATON,FEMENINO,75,2019-04-23,1,14,2019,4,23,2019,4,23,martes,martes
2019-0036,1,2019-04-26,22:46:00,RIGLOS Y FORMOSA,CALLE,6,-58.4368044,-34.62147504,Moto,Auto,['Caballito'],CONDUCTOR,MASCULINO,34,2019-05-02,1,22,2019,4,26,2019,5,2,viernes,jueves
2019-0037,1,2019-05-01,23:10:00,LA RIOJA E INDEPENDENCIA AV.,AVENIDA,3,-58.40778291,-34.61971907,Moto,Auto,"['Balvanera', 'San Cristóbal']",CONDUCTOR,MASCULINO,17,2019-05-01,1,23,2019,5,1,2019,5,1,miÃ©rcoles,miÃ©rcoles
2019-0038,1,2019-05-04,14:10:00,"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",AVENIDA,13,-58.45212523,-34.54628513,Peaton,Moto,"['Núñez', 'Belgrano', 'Colegiales']",PEATON,FEMENINO,42,2019-05-05,1,14,2019,5,4,2019,5,5,sÃ¡bado,domingo
